DataNum	Sensor0	Sensor1	Sensor2 AvgTemp

6	26.6658	26.1895	26.1968	26.3507

7	26.7399	26.2881	26.3411	26.4563

8	26.8625	26.3742	26.5241	26.5869

9	26.9509	26.4736	26.7421	26.7222

1	24.4685	23.9330	23.9448	24.1154

2	24.5288	23.9716	23.9726	24.1576

3	24.5662	24.0308	24.0028	24.1999

4	24.6041	24.1015	24.0353	24.2469

5	24.6566	24.2556	24.0856	24.3326

6	24.7057	24.3403	24.1331	24.393

7	24.7918	24.4052	24.2141	24.4703

8	24.8671	24.5178	24.2980	24.5609

9	24.9532	24.6298	24.3762	24.653

10	25.0792	24.6933	24.5236	24.7653

11	25.1705	24.7903	24.7178	24.8928

12	25.2561	24.9411	24.8882	25.0284

13	25.3702	25.0810	25.0993	25.1835

14	25.4770	25.2042	25.3386	25.3399

1	28.3721	28.6322	27.8389	28.281

2	28.4056	28.6652	27.9095	28.3267

3	28.4411	28.7447	27.9740	28.3866

4	28.5177	28.7625	27.9916	28.4239

5	28.5413	28.8777	28.0594	28.4928

6	28.6236	28.9464	28.1414	28.5704

7	28.7213	29.1202	28.1713	28.6709

8	28.7962	29.2710	28.1976	28.7549

9	28.8764	29.4911	28.2527	28.8734

10	28.9802	29.7233	28.3403	29.0146

11	29.0991	29.7897	28.4071	29.0986

12	29.2001	30.0280	28.4840	29.2373

13	29.3058	30.3947	28.6033	29.4346

14	29.4272	30.5954	28.6948	29.5724

15	29.5315	30.8918	28.7926	29.7386

16	29.6729	31.0881	28.8988	29.8866

17	29.7995	31.2509	29.0263	30.0255

18	29.9192	31.6139	29.1743	30.2358

19	30.0462	31.8562	29.2839	30.3954

20	29.9418	31.9643	29.2024	30.3695

1	25.3047	24.6058	24.5572	24.8225

2	25.3331	24.6282	24.5799	24.847

3	25.4018	24.8053	24.6601	24.9557

4	25.4506	24.9769	24.7088	25.0454

5	25.5041	25.0472	24.7664	25.1059

6	25.6147	25.0706	24.8750	25.1867

7	25.6947	25.1465	24.9947	25.2786

8	25.7748	25.3072	25.1290	25.4036

9	25.8637	25.3898	25.3194	25.5243

10	25.9875	25.4968	25.5702	25.6848

11	26.1073	25.6339	25.7603	25.8338

12	26.3552	25.9485	26.0577	26.1204

13	26.4758	26.3328	26.2303	26.3463

14	26.5665	26.6185	26.4390	26.5413

15	26.7178	26.6527	26.6257	26.6654

1	28.2086	27.4144	27.7964	27.8064

2	28.2392	27.6714	27.8637	27.9247

3	28.1613	27.9786	27.9713	28.037

4	28.1346	28.1092	28.1019	28.1152

5	28.1729	28.1945	28.2083	28.1919

6	28.2161	28.3186	28.2917	28.2754

7	28.2950	28.5193	28.3764	28.3969

8	28.5259	28.8090	28.5219	28.6189

9	28.5501	29.2026	28.5669	28.7732

10	28.6170	29.5417	28.6969	28.9518

11	28.7153	29.6725	28.8501	29.0793

12	28.8259	29.9529	29.0075	29.2621

13	28.7525	29.9048	29.0748	29.244

14	29.0726	29.6715	29.1042	29.2827

15	29.2309	29.4765	29.1138	29.2737

16	29.2031	29.3476	29.0993	29.2166

17	29.2444	29.2635	29.1451	29.2176

1	25.2354	24.6918	24.9343	24.9

2	25.2327	24.7046	24.9383	24.9

3	25.2454	24.7329	24.9408	24.9

4	25.2580	24.8351	24.9534	25.0155

5	25.3122	24.9047	24.9881	25

6	25.3895	24.9297	25.0750	25.1314

7	25.4278	25.0617	25.1162	25.2019

8	25.4861	25.2349	25.1941	25.3

9	25.5986	25.2673	25.2899	25.3

10	25.7110	25.3231	25.4568	25.4

11	25.8286	25.4491	25.7086	25.6621

12	25.9030	25.5876	25.8262	25.7

13	26.0421	25.6979	25.9194	25.8

14	26.1845	26.0490	26.1224	26.1

15	26.3351	26.2152	26.3935	26.3146

16	26.4487	26.2402	26.5029	26.3

17	26.6876	26.3408	26.6733	26.5

18	26.7809	26.7234	26.8010	26.7

